Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
theMednet,https://angel.co/company/themednet,5,Jun '17,New York City,Healthcare,http://www.themednet.com,1-10,Seed,1300000
Flight Ventures,https://angel.co/company/flight-vc-syndicate,5,Apr '15,San Francisco,SaaS,https://angel.co/flight-ventures,"","",""
Boom,https://angel.co/company/boom,5,Apr '16,Centennial,Aerospace,https://boomsupersonic.com/,51-200,Series B,133000000
MANOR,https://angel.co/company/manor-2,5,May '17,Chicago,B2B,http://manorhomeapp.com,"",Seed,335000
Campuswire,https://angel.co/company/campuswire,5,May '16,San Francisco,Messaging,http://campuswire.com,1-10,"",""
Prefer,https://angel.co/company/prefer-2,5,May '17,San Francisco,Location Based Services,http://prefer.com,11-50,"",""
Hingeto,https://angel.co/company/hingeto,5,Dec '15,Oakland,E-Commerce Platforms,http://hingeto.com,11-50,Seed,1900000
Core Innovation Capital,https://angel.co/company/core-innovation-capital,5,May '16,San Francisco,Finance Technology,http://www.corevc.com,1-10,"",""
WPP Ventures,https://angel.co/company/wpp-ventures,5,Apr '17,London,Retail Technology,http://www.wppventures.com,"","",""
KF20 Capital,https://angel.co/company/kf20-capital,5,Apr '17,San Francisco,"","","","",""
